Release,FileName,sizeLoc,locTouched,numR,numFix,numAuth,locAdded,avgLocAdded,maxLocAdded,churn,maxChurn,avgChurn,age,weightedAge,Bugginess
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieReadWriteTest.java,40,47,1,1,1,47,23.5,47,47,47,23.5,1,0.02127659574468085,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieRecoveryTest.java,39,46,1,1,1,46,23.0,46,46,46,23.0,1,0.021739130434782608,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalLedgerDeleteTest.java,40,47,1,1,1,47,23.5,47,47,47,23.5,1,0.02127659574468085,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/LedgerLayoutTest.java,118,136,1,1,1,136,68.0,136,136,136,68.0,1,0.007352941176470588,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/TestLedgerManager.java,235,261,1,1,1,261,130.5,261,261,261,130.5,1,0.0038314176245210726,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/proto/TestProtoVersions.java,101,114,2,0,1,113,113.0,113,113,113,56.5,5,0.043859649122807015,false
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/AsyncLedgerOpsTest.java,212,23,4,1,3,1,1.0,1,0,0,0.0,35,1.5217391304347827,false
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BaseTestCase.java,223,150,12,4,3,67,22.333334,62,67,62,10.285714,35,0.23333333333333334,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieClientTest.java,224,43,6,0,3,5,1.25,2,5,4,3.142857,35,0.813953488372093,false
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieFailureTest.java,253,36,6,1,3,1,0.5,1,-1,1,0.25,35,0.9722222222222222,false
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieJournalRollingTest.java,193,247,3,1,2,230,230.0,230,230,230,76.666664,3,0.012145748987854251,false
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieReadWriteTest.java,896,518,10,3,3,364,364.0,364,323,323,107.666664,35,0.06756756756756757,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieZKExpireTest.java,81,99,3,1,3,91,45.5,90,91,90,30.666666,15,0.15151515151515152,true
