Dataset,#TrainingRelease,%Training,%Defective_training,%Defective_testing,Classifier,Balancing,FeatureSelection,Sensitivity,TP,FP,TN,FN,Precision,Recall,ROC,Kappa
Bookkeeper,1,43.79562,20.0,8.766233,NAIVE_BAYES,UNDERSAMPLING,BEST_FIRST,SENSITIVE_THRESHOLD,27.0,258.0,23.0,0.0,0.09473684210526316,1.0,0.5409252669039146,0.01538919039476617
Bookkeeper,1,43.79562,20.0,8.766233,NAIVE_BAYES,UNDERSAMPLING,BEST_FIRST,SENSITIVE_LEARNING,27.0,241.0,40.0,0.0,0.10074626865671642,1.0,0.8141557928034796,0.028276692674242005
Bookkeeper,1,43.79562,20.0,8.766233,RANDOM_FOREST,SMOTE,BEST_FIRST,NO_SENSITIVE,23.0,101.0,180.0,4.0,0.18548387096774194,0.8518518518518519,0.8753130354553842,0.18768210589771922
Bookkeeper,1,43.79562,20.0,8.766233,RANDOM_FOREST,SMOTE,BEST_FIRST,SENSITIVE_THRESHOLD,23.0,101.0,180.0,4.0,0.18548387096774194,0.8518518518518519,0.7462106234348227,0.18768210589771922
Bookkeeper,1,43.79562,20.0,8.766233,RANDOM_FOREST,SMOTE,BEST_FIRST,SENSITIVE_LEARNING,23.0,104.0,177.0,4.0,0.18110236220472442,0.8518518518518519,0.8625939106366153,0.18016463745255573
Bookkeeper,1,43.79562,20.0,8.766233,IBK,SMOTE,BEST_FIRST,NO_SENSITIVE,22.0,51.0,230.0,5.0,0.3013698630136986,0.8148148148148148,0.8213391327270331,0.3578077295405468
Bookkeeper,1,43.79562,20.0,8.766233,IBK,SMOTE,BEST_FIRST,SENSITIVE_THRESHOLD,22.0,51.0,230.0,5.0,0.3013698630136986,0.8148148148148148,0.8166600764465534,0.3578077295405468
Bookkeeper,1,43.79562,20.0,8.766233,IBK,SMOTE,BEST_FIRST,SENSITIVE_LEARNING,20.0,172.0,109.0,7.0,0.10416666666666667,0.7407407407407407,0.732634770001318,0.03419522107771001
Bookkeeper,1,43.79562,20.0,8.766233,NAIVE_BAYES,SMOTE,BEST_FIRST,NO_SENSITIVE,27.0,225.0,56.0,0.0,0.10714285714285714,1.0,0.874654013444049,0.04181184668989546
Bookkeeper,1,43.79562,20.0,8.766233,NAIVE_BAYES,SMOTE,BEST_FIRST,SENSITIVE_THRESHOLD,27.0,225.0,56.0,0.0,0.10714285714285714,1.0,0.599644128113879,0.04181184668989546
