ShadID; Commit; Message; Ticket; Date; Authors; Version; Files
73c5a0e0111754690e5cd74fb030ee64a2f829d9;commit 73c5a0e0111754690e5cd74fb030ee64a2f829d9 1678113311 -----sp;Added BatchedArrayBlockingQueue (#3838);;2023-03-06;Matteo Merli;14;
1bd1745742ce920a6bc015e086b78cc1aaec6357;commit 1bd1745742ce920a6bc015e086b78cc1aaec6357 1678102018 -----sp;fix website deploy build failed (#3841);;2023-03-06;Hang Chen;14;
bf5a6aabb69d4898a261480a867b0a15416a6b88;commit bf5a6aabb69d4898a261480a867b0a15416a6b88 1678092954 -----sp;BP61: revert BP-59 to release ByteBuf using ReferenceCountUtil.release() instead of ReferenceCountUtil.safeRelease() (#3796);;2023-03-06;Hang Chen;14;
3844bf128cbd07ffd0f77eb8ec9dcedc163a839b;commit 3844bf128cbd07ffd0f77eb8ec9dcedc163a839b 1678086164 -----sp;Make RrocksDB checksum type configurable (#3793);;2023-03-06;Hang Chen;14;
3199fbe4d60cc392f58850e8a572d0211c296d9d;commit 3199fbe4d60cc392f58850e8a572d0211c296d9d 1678086116 -----sp;Add directIO entry logger settings documents (#3789);;2023-03-06;Hang Chen;14;
128c52eeffeb0d009aedc3b92e8bd30852332a09;commit 128c52eeffeb0d009aedc3b92e8bd30852332a09 1678064577 -----sp;Simplified the logic for ForceWriteThread after we introduced queue.drainTo() (#3830);;2023-03-06;Matteo Merli;14;
dfde3d6836094cc39d8a3603cb268ca0f633350b;commit dfde3d6836094cc39d8a3603cb268ca0f633350b 1678038217 -----sp;Pass BookieRequestHandler instead of Channel to the request processors (#3835);;2023-03-05;Matteo Merli;14;
b4112dfdbf29c16da89d914d44faaa8c821723a8;commit b4112dfdbf29c16da89d914d44faaa8c821723a8 1677947198 -----sp;Fix Spotbugs check failed (#3836);;2023-03-04;Hang Chen;14;
20aad8006e7bb21f034dfe61bc68a38968428d1e;commit 20aad8006e7bb21f034dfe61bc68a38968428d1e 1677772330 -----sp;Avoid using thread-local WriteSet when possible (#3829);;2023-03-02;Matteo Merli;14;
227b166018242d26a5299b6ed338e12632ebe780;commit 227b166018242d26a5299b6ed338e12632ebe780 1677719688 -----sp;Support build in the aarch64 linux platform (#3828);;2023-03-02;Yong Zhang;14;
7852db60591aefae9ae170ec4990bcb3de59f574;commit 7852db60591aefae9ae170ec4990bcb3de59f574 1677705308 -----sp;remove unused 'close ledger manager' comment (#3827);;2023-03-01;wenbingshen;14;
3dcd8d58692a55a3c95184d4692d5d4f2e65c11b;commit 3dcd8d58692a55a3c95184d4692d5d4f2e65c11b 1677668494 -----sp;Remove callback threadpool for sending add responses (#3825);;2023-03-01;Matteo Merli;14;
73294ce00f039151f484dccf5c3d03114c852c73;commit 73294ce00f039151f484dccf5c3d03114c852c73 1677663267 -----sp;Fixed back API of Crc32cIntChecksum (#3826);;2023-03-01;Matteo Merli;14;
a96317e3537abff1d5759356ee27fc1044740f44;commit a96317e3537abff1d5759356ee27fc1044740f44 1677635641 -----sp;Update testcontainers to last version to support m1 (#3819);;2023-03-01;ZhangJian He;14;
fbd18aeecaf8089c4a15676fea0dff3b32615293;commit fbd18aeecaf8089c4a15676fea0dff3b32615293 1677635560 -----sp;Use JNI directly for posix_fadvise (#3824);;2023-03-01;Matteo Merli;14;
b70d128ad00b99d9e9771d20e4a50bc3b129a00f;commit b70d128ad00b99d9e9771d20e4a50bc3b129a00f 1677635264 -----sp;Upgrade Netty to 4.1.89.Final (#3816);;2023-03-01;Lari Hotari;14;
6d003367280b0a761d02dbfc8c8d6ab8b6637e73;commit 6d003367280b0a761d02dbfc8c8d6ab8b6637e73 1677571567 -----sp;fix mailing-lists dead links (#3804);;2023-02-28;lixinyang;14;
0ca4fe26978c231c81796f4cfd52ae8fa3b2fc29;commit 0ca4fe26978c231c81796f4cfd52ae8fa3b2fc29 1677545239 -----sp;Fix: typo for ledger-metadata param: restorefromfile (#3823);;2023-02-28;Rajan Dhabalia;14;
ade30bda1996df747a2fe48948ec1a53413ae3a3;commit ade30bda1996df747a2fe48948ec1a53413ae3a3 1677545211 -----sp;Fix: bookie-shell ledger-metadata usage with correct param (#3822);;2023-02-28;Rajan Dhabalia;14;
e0ee70826974dd02c24133565bb1d81c30a753f1;commit e0ee70826974dd02c24133565bb1d81c30a753f1 1677545196 -----sp;Support update ledger metadata option bk-cli (#3821);;2023-02-28;Rajan Dhabalia;14;
284cf9611a2e569616a7ecca30fd93fd90af721f;commit 284cf9611a2e569616a7ecca30fd93fd90af721f 1677529810 -----sp;Remove compiling with `-Werror` to support Java 19 (#3820);;2023-02-27;Matteo Merli;14;
c389b96f12cd8dbcb654acc84234afe3f981f698;commit c389b96f12cd8dbcb654acc84234afe3f981f698 1677524537 -----sp;Speed up shutdown in test cases (#3809);;2023-02-27;Hang Chen;14;
6f09c60d2c29cdce3be7f784b0f1f7cfd7860e70;commit 6f09c60d2c29cdce3be7f784b0f1f7cfd7860e70 1677496847 -----sp;Upgrade lombok to 1.18.26 (#3814);;2023-02-27;Hang Chen;14;
1e028534855a4dc83a74432f9de9a062c94c9984;commit 1e028534855a4dc83a74432f9de9a062c94c9984 1677484813 -----sp;Avoid thread-local state when computing CRCs (#3811);;2023-02-27;Matteo Merli;14;
1f8de8ffa2e63bb748b096c1427f58e6b07e5c5c;commit 1f8de8ffa2e63bb748b096c1427f58e6b07e5c5c 1677473074 -----sp;Improved efficiency in DigestManager.verify() (#3810);;2023-02-27;Matteo Merli;14;
f65b72d54bff677adb273c509d84ada7f93727a9;commit f65b72d54bff677adb273c509d84ada7f93727a9 1677472888 -----sp;Use mixed quick/insertion sort (#3807);;2023-02-27;Matteo Merli;14;
08ef6491a61cc3fbc3d055eb56b75eb221f986ec;commit 08ef6491a61cc3fbc3d055eb56b75eb221f986ec 1677470558 -----sp;Fix ReadEntryProcessor v2 SchedulingDelayStats (#3758);;2023-02-27;houxiaoyu;14;
7f263fa8f41924ef0996f84beffdf008480075d8;commit 7f263fa8f41924ef0996f84beffdf008480075d8 1677459602 -----sp;Fixed the pivot selection in the group quick-sort (#3800);;2023-02-27;Matteo Merli;14;
8d922634c71ac96daeb2fa7db7692424895df722;commit 8d922634c71ac96daeb2fa7db7692424895df722 1677438652 -----sp;Fixed locking of PendingAddOp (#3806);;2023-02-26;Matteo Merli;14;
80d3aac30f69d2a10f06dca4f9c2a62b8d01220a;commit 80d3aac30f69d2a10f06dca4f9c2a62b8d01220a 1677031857 -----sp;upgrade rocksdb version to 7.9.2 (#3795);;2023-02-22;Hang Chen;14;
58cdd499c6b398f4bc5f94c66d4e139a6a1a00b0;commit 58cdd499c6b398f4bc5f94c66d4e139a6a1a00b0 1677028792 -----sp;Make profile code-coverage and dev-debug tests using `-Dio.netty.leakDetection.level=paranoid`. (#3785);;2023-02-22;Yan Zhao;14;
9ff295443097cc85903d8d9f0319ec582fb601bf;commit 9ff295443097cc85903d8d9f0319ec582fb601bf 1677028099 -----sp;Add logs for ensemble select failed (#3779);;2023-02-22;Hang Chen;14;
c295f1880f6c9c18ceb9bc985db9c88e636b9171;commit c295f1880f6c9c18ceb9bc985db9c88e636b9171 1677012723 -----sp;Made PendingAddOp thread safe (#3784);;2023-02-21;Matteo Merli;14;
5fced0d4346f851b5698f1bdd3f7a06ee62a7fcb;commit 5fced0d4346f851b5698f1bdd3f7a06ee62a7fcb 1677002020 -----sp;change directIO configuration names to avoid confuse (#3791);;2023-02-21;Hang Chen;14;
6b6ea7620157b600ded505b38dec472da824fe17;commit 6b6ea7620157b600ded505b38dec472da824fe17 1677001974 -----sp;Fix CI is not failed when test have errors (#3790);;2023-02-21;Yong Zhang;14;
